tanggal,penjualan
01/04/2023,6930000.00
02/04/2023,5587000.00
03/04/2023,3255000.00
04/04/2023,4607000.00
05/04/2023,5808000.00
06/04/2023,5130000.00
07/04/2023,8821500.00
08/04/2023,9098500.00
09/04/2023,7474600.00
10/04/2023,3380500.00
11/04/2023,4493000.00
12/04/2023,4139000.00
13/04/2023,6188500.00
14/04/2023,6331000.00
15/04/2023,7822500.00
16/04/2023,7617000.00
17/04/2023,7937850.00
18/04/2023,7447000.00
19/04/2023,7269000.00
20/04/2023,7120500.00
21/04/2023,4895500.00
22/04/2023,8462500.00
23/04/2023,9578000.00
24/04/2023,8382000.00
25/04/2023,11002500.00
26/04/2023,8721000.00
27/04/2023,11301000.00
28/04/2023,9854000.00
29/04/2023,12307500.00
30/04/2023,12527000.00
01/01/2023,3081000.00
02/01/2023,3095000.00
03/01/2023,2116000.00
04/01/2023,2239350.00
05/01/2023,2608000.00
06/01/2023,2665700.00
07/01/2023,4638900.00
08/01/2023,1953000.00
09/01/2023,796750.00
10/01/2023,943000.00
11/01/2023,1080000.00
12/01/2023,815000.00
13/01/2023,1433350.00
14/01/2023,2891000.00
15/01/2023,1805000.00
16/01/2023,875350.00
17/01/2023,1365000.00
18/01/2023,1565000.00
19/01/2023,2350000.00
20/01/2023,1275000.00
21/01/2023,3520000.00
22/01/2023,3904200.00
23/01/2023,2405000.00
24/01/2023,1265000.00
25/01/2023,1255000.00
26/01/2023,1170000.00
27/01/2023,1420000.00
28/01/2023,2355000.00
29/01/2023,4146000.00
30/01/2023,905000.00
31/01/2023,1957000.00
01/02/2023,1565000.00
02/02/2023,1633000.00
03/02/2023,2855000.00
04/02/2023,5105000.00
05/02/2023,3476000.00
06/02/2023,1320000.00
07/02/2023,2117000.00
08/02/2023,1696000.00
09/02/2023,1790000.00
10/02/2023,3558000.00
11/02/2023,6019000.00
12/02/2023,4427000.00
13/02/2023,2238000.00
14/02/2023,3735400.00
15/02/2023,2416000.00
16/02/2023,2419100.00
17/02/2023,1528000.00
18/02/2023,6474600.00
19/02/2023,4036000.00
20/02/2023,1555100.00
21/02/2023,491000.00
22/02/2023,1195000.00
23/02/2023,1440000.00
24/02/2023,2294000.00
25/02/2023,3829000.00
26/02/2023,4192000.00
27/02/2023,984000.00
28/02/2023,848000.00
01/03/2023,1271100.00
02/03/2023,1068000.00
03/03/2023,2631000.00
04/03/2023,4839000.00
05/03/2023,5274000.00
06/03/2023,751000.00
07/03/2023,1195000.00
08/03/2023,1755000.00
09/03/2023,1722000.00
10/03/2023,2706000.00
11/03/2023,5621000.00
12/03/2023,3965000.00
13/03/2023,1243000.00
14/03/2023,2083000.00
15/03/2023,1839000.00
16/03/2023,2486000.00
17/03/2023,2034000.00
18/03/2023,6736000.00
19/03/2023,4233200.00
20/03/2023,2004000.00
21/03/2023,3851000.00
22/03/2023,5414000.00
23/03/2023,2702000.00
24/03/2023,2022000.00
25/03/2023,2527000.00
26/03/2023,2479000.00
27/03/2023,1862000.00
28/03/2023,1631000.00
29/03/2023,2178000.00
30/03/2023,2238000.00
31/03/2023,2930000.00
